date,journal_id,name,line_ids/account_id,line_ids/tax_ids,line_ids/is_imported,line_ids/debit,line_ids/credit
2025-12-31,Miscellaneous Operations,/,111101,,True,60796333.50,
,,,111102,,True,,60762680.50
,,,111103,,True,26751.00,
,,,111105,,True,1250594.00,
,,,111201,,True,22590788.57,
,,,111202,,True,61348939.00,
,,,111203,,True,8209.00,
,,,111204,,True,20488723.06,
,,,111205,,True,5435646.27,
,,,111301,,True,51413056.85,
,,,111302,,True,92652459.00,
,,,111303,,True,16471406.25,
,,,111304,,True,14969413.65,
,,,111305,,True,1233342.13,
,,,111401,,True,373637136.66,
,,,111407,,True,1104761228.62,
,,,111408,,True,521000000.00,
,,,999113001,,True,124864843.16,
,,,999113002,,True,829208.94,
,,,113005,,True,22414248.72,
,,,114001,,True,12194.16,
,,,114002,,True,430110.93,
,,,114003,,True,204157.50,
,,,114006,,True,1867456.89,
,,,114007,,True,7253924.99,
,,,114008,,True,38890.78,
,,,114011,,True,6668983.62,
,,,114013,,True,91938.00,
,,,114014,,True,2904.00,
,,,114015,,True,89755.23,
,,,116001,,True,943443.28,
,,,116002,,True,72775531.34,
,,,116003,,True,26017089.75,
,,,116011,,True,8632891.59,
,,,116012,,True,15296644.43,
,,,116021,,True,7434.18,
,,,116008,,True,114005.16,
,,,116031,,True,9862777.86,
,,,116032,,True,3746160.86,
,,,116039,,True,4116895.97,
,,,117002,,True,745264.55,
,,,117004,,True,281033.73,
,,,117005,,True,65000000.00,
,,,117006,,True,354935.97,
,,,123001,,True,52433287.66,
,,,123002,,True,107358328.66,
,,,123003,,True,238452350.80,
,,,123004,,True,140893751.33,
,,,123005,,True,23201795.99,
,,,123006,,True,2209527.54,
,,,123007,,True,39618838.06,
,,,123008,,True,34325595.79,
,,,123010,,True,255994.40,
,,,123013,,True,,75985284.88
,,,123014,,True,,129495083.47
,,,123015,,True,,132382481.31
,,,123016,,True,,18014244.06
,,,123017,,True,,2088828.72
,,,123018,,True,,25884793.66
,,,124001,,True,9400040.55,
,,,124003,,True,1120000.00,
,,,124004,,True,,3548800.27
,,,999212001,,True,,50810205.32
,,,212004,,True,,13288522.48
,,,213003,,True,,36661618.00
,,,213007,,True,,14327087.03
,,,213008,,True,,218034.00
,,,213009,,True,,2291720.02
,,,213011,,True,,80576.49
,,,213012,,True,,3756973.38
,,,213016,,True,,3.10
,,,213018,,True,,6728.00
,,,213019,,True,,3414.00
,,,214004,,True,,2000.00
,,,215002,,True,,3260137.92
,,,215004,,True,,414699.47
,,,215005,,True,,96805.50
,,,215006,,True,,295005.23
,,,221005,,True,,3305420.02
,,,222001,,True,,33742195.73
,,,222002,,True,,1425000.00
,,,310001,,True,,30000000.00
,,,320001,,True,,2082376722.11
,,,320002,,True,,3000000.00
,,,410001,,True,,797770857.68
,,,410002,,True,,193735494.44
,,,410009,,True,,1592191.91
,,,410021,,True,,63704.69
,,,410032,,True,189736.33,
,,,420001,,True,,114136498.04
,,,420002,,True,,4595286.72
,,,430001,,True,,26759871.73
,,,430003,,True,151785.92,
,,,430004,,True,,2705553.27
,,,430005,,True,,2157320.19
,,,510001,,True,178393806.22,
,,,510002,,True,79940171.25,
,,,510009,,True,1758077.46,
,,,520001,,True,22733105.29,
,,,520002,,True,1600379.36,
,,,530001,,True,26795308.08,
,,,530003,,True,840349.00,
,,,530006,,True,4756974.00,
,,,530007,,True,2013999.76,
,,,530009,,True,308986.91,
,,,530011,,True,13575.30,
,,,530021,,True,9059164.39,
,,,530022,,True,126856.21,
,,,530023,,True,2394.00,
,,,530024,,True,3598.00,
,,,530025,,True,149.00,
,,,530026,,True,6340.00,
,,,530031,,True,134346.07,
,,,530032,,True,1018149.80,
,,,530012,,True,16560.00,
,,,530071,,True,3221108.01,
,,,530072,,True,13096006.55,
,,,530073,,True,2276821.60,
,,,530074,,True,1733.72,
,,,530061,,True,361507.98,
,,,530075,,True,1171194.11,
,,,530062,,True,1547576.86,
,,,530063,,True,754398.82,
,,,530053,,True,25392.76,
