date,journal_id,name,line_ids/account_id,line_ids/currency_id,line_ids/debit,line_ids/credit
,,,530084,THB,,0.20
,,,590001,THB,,76311884.56
,,,600001,THB,1654955.91,
,,,600002,THB,1126262.60,
,,,600003,THB,17203616.44,
,,,600004,THB,16470064.05,
,,,600005,THB,3337618.62,
,,,600006,THB,306289.52,
,,,600008,THB,2322.83,
,,,600010,THB,254821.00,
,,,600021,THB,17640367.17,
,,,600025,THB,294772.00,
,,,600027,THB,333543.35,
,,,600029,THB,55100.00,
,,,600030,THB,6560.00,
,,,600032,THB,20180.79,
,,,600033,THB,2541778.56,
,,,600022,THB,5156282.00,
,,,600043,THB,44974.40,
,,,600023,THB,342213.00,
,,,600045,THB,38994.00,
,,,600052,THB,95498.12,
,,,600053,THB,45711.40,
,,,600054,THB,29200.00,
,,,600061,THB,1236664.56,
,,,600062,THB,684523.99,
,,,600083,THB,16751.87,
,,,600085,THB,461021.93,
,,,600092,THB,2053.04,
,,,600093,THB,24061.88,
,,,600095,THB,1875782.45,
,,,600064,THB,18123365.17,
,,,600065,THB,1366605.23,
,,,600067,THB,116035.00,
,,,600100,THB,265041.44,
,,,600011,THB,11382243.00,
,,,600097,THB,42115.73,
,,,600021,THB,52758437.67,
,,,600025,THB,174881.00,
,,,600026,THB,29594.00,
,,,600027,THB,681636.90,
,,,600034,THB,240900.00,
,,,600029,THB,196700.00,
,,,600030,THB,39845.75,
,,,600055,THB,,19387.92
,,,600032,THB,20884.76,
,,,600033,THB,334892.42,
,,,600041,THB,313406.65,
,,,600010,THB,4114006.53,
,,,600042,THB,10309.70,
,,,600043,THB,111017.19,
,,,600044,THB,2198.00,
,,,600045,THB,9710.00,
,,,600068,THB,1375655.28,
,,,600052,THB,258974.74,
,,,600053,THB,167703.81,
,,,600054,THB,184553.46,
,,,600069,THB,23100.00,
,,,600026,THB,455604.07,
,,,600027,THB,159430.07,
,,,600081,THB,272735.00,
,,,600082,THB,13740.00,
,,,600083,THB,85305.43,
,,,600084,THB,37850.45,
,,,600085,THB,606262.66,
,,,600091,THB,27480.85,
,,,600092,THB,192667.59,
,,,600093,THB,1251568.35,
,,,600094,THB,56923.78,
,,,600095,THB,1690045.11,
,,,600096,THB,947742.63,
,,,600064,THB,10822050.68,
,,,600097,THB,261678.19,
,,,600066,THB,2429082.46,
,,,600071,THB,1300.00,
,,,600056,THB,137.00,
,,,600072,THB,71700.00,
,,,600065,THB,5846.30,
,,,600074,THB,1094570.40,
,,,600075,THB,2794.20,
,,,600102,THB,23026067.91,
,,,600103,THB,7878410.18,
,,,600104,THB,0.03,
,,,600105,THB,12915.66,
,,,600100,THB,77769.39,
,,,600110,THB,,480.29
,,,600023,THB,222612.00,
,,,600113,THB,458183.33,
,,,800001,THB,119601.83,
,,,800002,THB,335562.18,
