product_code,product_name,manufacturing_type,bom_picking_type_id,route_ids,orderpoint_count,orderpoint_locations,has_mto,has_orderpoint,replenishment_mode
FG-PNC-TH-01005,พิมเสนสำลี 8cc (1x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNC-XX-01001,พิมเสนสำลี 8cc (12x1) ตปท,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PNF-ID-01001,พิมเสน แก้วแบน 3cc (12x1) อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNF-ID-04001,พิมเสน แก้วแบน 3cc ไม่หุ้ม อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNF-TH-01001,พิมเสน แก้วแบน 3cc (12x1),pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PNF-TH-01002,พิมเสน แก้วแบน 3cc (12x1) 20U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNF-TH-01003,แก้วแบน 3C ชั้น(1*1),pharma,59,{62},0,,N,N,NONE
FG-PNF-XX-01001,พิมเสน แก้วแบน 3cc (12x1) ตปท,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-ID-01001,พิมเสนโรลออน 5cc (12x1) อินโดนีเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-MM-01001,พิมเสนโรลออน 5cc (12x1) พม่า,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-TH-01001,พิมเสนโรลออน 5cc (12x1),pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01002,พิมเสนโรลออน 5cc (24x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01003,พิมเสนโรลออน 5cc (6x1) 40U,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PNR-TH-01004,พิมเสนโรลออน 5cc (1x1) กล่องขาว,pharma,59,{62},0,,N,N,NONE
FG-PNR-TH-01005,พิมเสนโรลออน 5cc (1*1) ขวดเดี่ยว,pharma,59,{62},0,,N,N,NONE
FG-PNR-TW-01001,พิมเสนโรลออน 5cc (24x1) ไต้หวัน,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PNR-XX-01001,พิมเสนโรลออน 5cc (12x1) ตปท,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PPK-TH-01002,ยาดมพีเป๊กซ์ 2in1 (6x1),pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPK-TH-01003,ยาดมพีเป๊กซ์ 2in1 (6x1) 18โหล,pharma,59,{62},0,,N,N,NONE
FG-PPR-TH-01001,ยาดมพีเป๊กซ์แดง (1x6) แผง,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01002,ยาดมพีเป๊กซ์แดง (10x6) 5โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01003,ยาดมพีเป๊กซ์แดง (2x6) 30โหล,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PPR-TH-01004,ยาดมพีเป๊กซ์แดง (1x1) 6ชิ้น กล่องขาว,pharma,59,{62},0,,N,N,NONE
FG-PSK-TH-01001,ยาดมโป๊ยเซียนพวงกุญแจ (1x1),pharma,59,{62},0,,N,N,NONE
FG-PSK-TH-01002,ยาดมโป๊ยเซียนพวงกุญแจ (10x6) 5โหล,pharma,59,{62},0,,N,N,NONE
FG-PSS-DE-01001,ยาดมโป๊ยเซียน(10x6) 5โหล เยอรมัน,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
FG-PSS-LA-01001,ยาดมโป๊ยเซียน(10x6) 5โหล ลาว,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-MM-01001,ยาดมโป๊ยเซียน(10x6) 5โหล พม่า,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-MY-01001,ยาดมโป๊ยเซียน(10x6) 5โหล มาเลเซีย,pharma,59,"{1,60,62}",0,,Y,N,MTO_ONLY
FG-PSS-PB-01001,กระปุกออมสินโป๊ยเซียน (1x1),plastic,60,{63},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PSS-PB-01002,กระปุกออมสิน Mark II (1x1),plastic,60,{63},0,,N,N,NONE
FG-PSS-TH-01002,ยาดมโป๊ยเซียน (10x6) 5โหล,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01003,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01004,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,pharma,59,{62},1,8,N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01005,ยาดมโป๊ยเซียน (10x6) 80โหล,pharma,59,{62},2,"29,8",N,Y,ORDERPOINT_ONLY
FG-PSS-TH-01006,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,pharma,59,{62},0,,N,N,NONE
FG-PSS-TH-01006,ยาดมโป๊ยเซียน (4x6) 100โหล KP,pharma,59,{62},0,,N,N,NONE
FG-PSS-TH-01007,ยาดมโป๊ยเซียน (10x6) 50+20โหล,pharma,59,{62},0,,N,N,NONE
FG-PSS-TH-01008,ยาดมโป๊ยเซียน (10x6) 14กล่อง,pharma,59,{62},0,,N,N,NONE
FG-PSS-XX-01001,ยาดมโป๊ยเซียน (10x6) 5โหล ตปท,pharma,59,"{1,60,62}",1,8,Y,Y,BOTH
