date,journal_id/name,name,line_ids/account_id/code,line_ids/currency_id/name,line_ids/debit,line_ids/credit
2025-12-31 00:00:00,Opening Balance,/,222002,THB,,1425000
2025-12-31 00:00:00,Opening Balance,/,310001,THB,,30000000
2025-12-31 00:00:00,Opening Balance,/,320001,THB,,2082376722.11
2025-12-31 00:00:00,Opening Balance,/,320002,THB,,3000000
2025-12-31 00:00:00,Opening Balance,/,410001,THB,,797770857.68
2025-12-31 00:00:00,Opening Balance,/,410002,THB,,193735494.44
2025-12-31 00:00:00,Opening Balance,/,410009,THB,,1592191.91
2025-12-31 00:00:00,Opening Balance,/,410021,THB,,63704.69
2025-12-31 00:00:00,Opening Balance,/,410032,THB,189736.33,
2025-12-31 00:00:00,Opening Balance,/,420001,THB,,114136498.04
2025-12-31 00:00:00,Opening Balance,/,420002,THB,,4595286.72
2025-12-31 00:00:00,Opening Balance,/,430001,THB,,26759871.73
2025-12-31 00:00:00,Opening Balance,/,430003,THB,151785.92,
2025-12-31 00:00:00,Opening Balance,/,430004,THB,,2705553.27
2025-12-31 00:00:00,Opening Balance,/,430005,THB,,2157320.19
2025-12-31 00:00:00,Opening Balance,/,510001,THB,178393806.22,
2025-12-31 00:00:00,Opening Balance,/,510002,THB,79940171.25,
2025-12-31 00:00:00,Opening Balance,/,510009,THB,1758077.46,
2025-12-31 00:00:00,Opening Balance,/,520001,THB,22733105.29,
2025-12-31 00:00:00,Opening Balance,/,520002,THB,1600379.36,
2025-12-31 00:00:00,Opening Balance,/,530001,THB,26795308.08,
2025-12-31 00:00:00,Opening Balance,/,530003,THB,840349,
2025-12-31 00:00:00,Opening Balance,/,530006,THB,4756974,
2025-12-31 00:00:00,Opening Balance,/,530007,THB,2013999.76,
2025-12-31 00:00:00,Opening Balance,/,530009,THB,308986.91,
2025-12-31 00:00:00,Opening Balance,/,530011,THB,13575.3,
2025-12-31 00:00:00,Opening Balance,/,530021,THB,9059164.39,
2025-12-31 00:00:00,Opening Balance,/,530022,THB,126856.21,
2025-12-31 00:00:00,Opening Balance,/,530023,THB,2394,
2025-12-31 00:00:00,Opening Balance,/,530024,THB,3598,
2025-12-31 00:00:00,Opening Balance,/,530025,THB,149,
2025-12-31 00:00:00,Opening Balance,/,530026,THB,6340,
2025-12-31 00:00:00,Opening Balance,/,530031,THB,134346.07,
2025-12-31 00:00:00,Opening Balance,/,530032,THB,1018149.8,
2025-12-31 00:00:00,Opening Balance,/,530012,THB,16560,
2025-12-31 00:00:00,Opening Balance,/,530071,THB,3221108.01,
2025-12-31 00:00:00,Opening Balance,/,530072,THB,13096006.55,
2025-12-31 00:00:00,Opening Balance,/,530073,THB,2276821.6,
2025-12-31 00:00:00,Opening Balance,/,530074,THB,1733.72,
2025-12-31 00:00:00,Opening Balance,/,530061,THB,361507.98,
2025-12-31 00:00:00,Opening Balance,/,530075,THB,1171194.11,
2025-12-31 00:00:00,Opening Balance,/,530062,THB,1547576.86,
2025-12-31 00:00:00,Opening Balance,/,530063,THB,754398.82,
2025-12-31 00:00:00,Opening Balance,/,530053,THB,25392.76,
2025-12-31 00:00:00,Opening Balance,/,530054,THB,5241299.28,
2025-12-31 00:00:00,Opening Balance,/,530027,THB,1539019.8,
2025-12-31 00:00:00,Opening Balance,/,530081,THB,26367.67,
