machine_id,mold_id,product_id,cycle_time,units_per_hour
563,579,8031,0.0,
564,579,8031,0.0,
565,579,8031,0.0,
566,579,8031,0.0,
567,579,8031,0.0,
568,579,8031,0.0,
569,579,8031,0.0,
570,579,8031,0.0,
563,580,8032,0.0,
564,580,8032,0.0,
565,580,8032,0.0,
566,580,8032,0.0,
567,580,8032,0.0,
568,580,8032,0.0,
569,580,8032,0.0,
570,580,8032,0.0,
563,581,8025,0.0,
564,581,8025,0.0,
565,581,8025,0.0,
566,581,8025,0.0,
567,581,8025,0.0,
568,581,8025,0.0,
569,581,8025,0.0,
570,581,8025,0.0,
563,582,8026,0.0,
564,582,8026,0.0,
565,582,8026,0.0,
566,582,8026,0.0,
567,582,8026,0.0,
568,582,8026,0.0,
569,582,8026,0.0,
570,582,8026,0.0,
563,583,8327,0.0,
564,583,8327,0.0,
565,583,8327,0.0,
566,583,8327,0.0,
567,583,8327,0.0,
568,583,8327,0.0,
569,583,8327,0.0,
570,583,8327,0.0,
563,584,8320,0.0,
564,584,8320,0.0,
565,584,8320,0.0,
566,584,8320,0.0,
567,584,8320,0.0,
568,584,8320,0.0,
569,584,8320,0.0,
570,584,8320,0.0,
563,585,8029,0.0,
564,585,8029,0.0,
565,585,8029,0.0,
566,585,8029,0.0,
567,585,8029,0.0,
568,585,8029,0.0,
569,585,8029,0.0,
570,585,8029,0.0,
563,586,8030,0.0,
564,586,8030,0.0,
565,586,8030,0.0,
566,586,8030,0.0,
567,586,8030,0.0,
568,586,8030,0.0,
569,586,8030,0.0,
570,586,8030,0.0,
563,587,8027,0.0,
564,587,8027,0.0,
565,587,8027,0.0,
566,587,8027,0.0,
567,587,8027,0.0,
568,587,8027,0.0,
569,587,8027,0.0,
570,587,8027,0.0,
563,588,8028,0.0,
564,588,8028,0.0,
565,588,8028,0.0,
566,588,8028,0.0,
567,588,8028,0.0,
568,588,8028,0.0,
569,588,8028,0.0,
570,588,8028,0.0,
563,589,8292,30.0,120.0
564,589,8292,30.0,120.0
565,589,8292,30.0,120.0
566,589,8292,30.0,120.0
567,589,8292,30.0,120.0
568,589,8292,30.0,120.0
569,589,8292,30.0,120.0
570,589,8292,30.0,120.0
563,589,8293,0.0,
564,589,8293,0.0,
565,589,8293,0.0,
566,589,8293,0.0,
567,589,8293,0.0,
568,589,8293,0.0,
569,589,8293,0.0,
570,589,8293,0.0,
563,589,8294,0.0,
564,589,8294,0.0,
565,589,8294,0.0,
566,589,8294,0.0,
567,589,8294,0.0,
568,589,8294,0.0,
569,589,8294,0.0,
570,589,8294,0.0,
563,589,8295,0.0,
564,589,8295,0.0,
565,589,8295,0.0,
566,589,8295,0.0,
567,589,8295,0.0,
568,589,8295,0.0,
569,589,8295,0.0,
570,589,8295,0.0,
563,589,8296,0.0,
564,589,8296,0.0,
565,589,8296,0.0,
566,589,8296,0.0,
567,589,8296,0.0,
568,589,8296,0.0,
569,589,8296,0.0,
570,589,8296,0.0,
563,589,8297,0.0,
564,589,8297,0.0,
565,589,8297,0.0,
566,589,8297,0.0,
567,589,8297,0.0,
568,589,8297,0.0,
569,589,8297,0.0,
570,589,8297,0.0,
563,590,8283,0.0,
564,590,8283,0.0,
565,590,8283,0.0,
566,590,8283,0.0,
567,590,8283,0.0,
568,590,8283,0.0,
569,590,8283,0.0,
570,590,8283,0.0,
563,590,8298,0.0,
564,590,8298,0.0,
565,590,8298,0.0,
566,590,8298,0.0,
567,590,8298,0.0,
568,590,8298,0.0,
569,590,8298,0.0,
570,590,8298,0.0,
563,590,8299,0.0,
564,590,8299,0.0,
565,590,8299,0.0,
566,590,8299,0.0,
567,590,8299,0.0,
568,590,8299,0.0,
569,590,8299,0.0,
570,590,8299,0.0,
563,590,8300,0.0,
564,590,8300,0.0,
565,590,8300,0.0,
566,590,8300,0.0,
567,590,8300,0.0,
568,590,8300,0.0,
569,590,8300,0.0,
570,590,8300,0.0,
563,590,8301,0.0,
564,590,8301,0.0,
565,590,8301,0.0,
566,590,8301,0.0,
567,590,8301,0.0,
568,590,8301,0.0,
569,590,8301,0.0,
570,590,8301,0.0,
563,590,8302,0.0,
564,590,8302,0.0,
565,590,8302,0.0,
566,590,8302,0.0,
567,590,8302,0.0,
568,590,8302,0.0,
569,590,8302,0.0,
570,590,8302,0.0,
563,590,8303,0.0,
564,590,8303,0.0,
565,590,8303,0.0,
566,590,8303,0.0,
567,590,8303,0.0,
568,590,8303,0.0,
569,590,8303,0.0,
570,590,8303,0.0,
563,591,8287,0.0,
564,591,8287,0.0,
565,591,8287,0.0,
566,591,8287,0.0,
567,591,8287,0.0,
568,591,8287,0.0,
569,591,8287,0.0,
570,591,8287,0.0,
563,592,8024,0.0,
564,592,8024,0.0,
565,592,8024,0.0,
566,592,8024,0.0,
567,592,8024,0.0,
568,592,8024,0.0,
569,592,8024,0.0,
570,592,8024,0.0,
563,593,8286,0.0,
564,593,8286,0.0,
565,593,8286,0.0,
566,593,8286,0.0,
567,593,8286,0.0,
568,593,8286,0.0,
569,593,8286,0.0,
570,593,8286,0.0,
563,594,8019,0.0,
564,594,8019,0.0,
565,594,8019,0.0,
566,594,8019,0.0,
567,594,8019,0.0,
568,594,8019,0.0,
569,594,8019,0.0,
570,594,8019,0.0,
563,595,8310,0.0,
564,595,8310,0.0,
565,595,8310,0.0,
566,595,8310,0.0,
567,595,8310,0.0,
568,595,8310,0.0,
569,595,8310,0.0,
570,595,8310,0.0,
563,596,8022,0.0,
564,596,8022,0.0,
565,596,8022,0.0,
566,596,8022,0.0,
567,596,8022,0.0,
568,596,8022,0.0,
569,596,8022,0.0,
570,596,8022,0.0,
563,597,8023,0.0,
564,597,8023,0.0,
565,597,8023,0.0,
566,597,8023,0.0,
567,597,8023,0.0,
568,597,8023,0.0,
569,597,8023,0.0,
570,597,8023,0.0,
563,598,8020,0.0,
564,598,8020,0.0,
565,598,8020,0.0,
566,598,8020,0.0,
567,598,8020,0.0,
568,598,8020,0.0,
569,598,8020,0.0,
570,598,8020,0.0,
563,599,8313,0.0,
564,599,8313,0.0,
565,599,8313,0.0,
566,599,8313,0.0,
567,599,8313,0.0,
568,599,8313,0.0,
569,599,8313,0.0,
570,599,8313,0.0,
563,600,8033,0.0,
564,600,8033,0.0,
565,600,8033,0.0,
566,600,8033,0.0,
567,600,8033,0.0,
568,600,8033,0.0,
569,600,8033,0.0,
570,600,8033,0.0,
603,601,8021,0.0,
