code,product_name,location_name,trigger,product_min_qty,product_max_qty,vendor_count
PK-CAR-PS-03001,ลังยาดม PePex2IN1 พวงกุญแจ 18โหล 31x39x58,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-03002,ลังยาดม PePex สีแดง 60โหล 31x38x39,GMP/Stock,auto,0.000000,0.000000,0
PK-CAR-PS-04001,ลังยาดม Pax2way key 100โหล 31x66.5x55.5,GMP/Stock,auto,0.000000,0.000000,0
PK-KEY-PS-01001,พวงกุญแจ ห่วงโซ่ + วงกลม,GMP/Stock,auto,0.000000,0.000000,0
PK-LEA-PS-01001,เอกสารกำกับยา MARK II Israel,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-01001,ฉลาก ShrinkFilm พิมเสนขวดแบน 3cc,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-01002,ฉลาก ShrinkFilm พิมเสนแก้วแบน 3cc อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-01003,พิมเสนPS ขวดแบน 3cc PVCหุ้มฝา ลูกศรสีน้ำเงิน,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-01004,พิมเสนPSขวดแก้วแบน3cc ฟอยด์หด,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-02001,พิมเสนPS RollOn ฟอยด์หด กล่อง 12ขวด,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-02002,พิมเสนPS RollOn PVCหุ้มขวด30x75x0.05mm,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-03001,พิมเสนPS ฟอยด์หด,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-03002,พิมเสนPS ฟอยด์หดถาด 1 โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-03003,พิมเสนPS ฟอยด์หดกล่อง2 โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PN-03006,พิมเสนPSสำลี ฟอยด์หด 4ขวด 95x100x0.03,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PS-01001,ShrinkFilm ยาดม PS-PePex 5โหล,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PS-01002,ShrinkFilm ยาดม PePex2IN1 พวงกุญแจ 6หลอด,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PS-01004,ถุงยาดม PePex 1โหล แม็คโคร (115x340),GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PS-01006,PVC หด PS 2 โหล 160x340,GMP/Stock,auto,0.000000,0.000000,0
PK-SHF-PS-01007,PVC หด Israel 2 โหล 175x210,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-01001,ฉลากสติกเกอร์ น้ำเต้า1936-1.7cm,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-01001,ฉลากสติ๊กเกอร์ พิมเสนแก้วแบน 3cc,GMP/Stock,auto,0.000000,0.000000,0
