date,journal_id,name,line_ids/account_id,line_ids/currency_id,line_ids/is_imported,line_ids/debit,line_ids/credit
,,,600042,THB,True,10309.70,
,,,600043,THB,True,111017.19,
,,,600044,THB,True,2198.00,
,,,600045,THB,True,9710.00,
,,,600068,THB,True,1375655.28,
,,,600052,THB,True,258974.74,
,,,600053,THB,True,167703.81,
,,,600054,THB,True,184553.46,
,,,600069,THB,True,23100.00,
,,,600026,THB,True,455604.07,
,,,600027,THB,True,159430.07,
,,,600081,THB,True,272735.00,
,,,600082,THB,True,13740.00,
,,,600083,THB,True,85305.43,
,,,600084,THB,True,37850.45,
,,,600085,THB,True,606262.66,
,,,600091,THB,True,27480.85,
,,,600092,THB,True,192667.59,
,,,600093,THB,True,1251568.35,
,,,600094,THB,True,56923.78,
,,,600095,THB,True,1690045.11,
,,,600096,THB,True,947742.63,
,,,600064,THB,True,10822050.68,
,,,600097,THB,True,261678.19,
,,,600066,THB,True,2429082.46,
,,,600071,THB,True,1300.00,
,,,600056,THB,True,137.00,
,,,600072,THB,True,71700.00,
,,,600065,THB,True,5846.30,
,,,600074,THB,True,1094570.40,
,,,600075,THB,True,2794.20,
,,,600102,THB,True,23026067.91,
,,,600103,THB,True,7878410.18,
,,,600104,THB,True,0.03,
,,,600105,THB,True,12915.66,
,,,600100,THB,True,77769.39,
,,,600110,THB,True,,480.29
,,,600023,THB,True,222612.00,
,,,600113,THB,True,458183.33,
,,,800001,THB,True,119601.83,
,,,800002,THB,True,335562.18,
