External ID,Vendor / External ID,Order Reference,Order Date,Currency / Name,Order Lines / External ID,Order Lines / Product / External ID,Order Lines / Description,Order Lines / Quantity,Order Lines / Unit Price,Order Lines / Expected Arrival
mig_po_PO2501005,__export__.res_partner_70476_b9e70bbe,PO2501005,,THB,mig_po_line_PO2501005_155,__export__.product_template_11630_0f0038e2,"ค่าโฆษณาคลื่น FM90 ลูกทุ่งรักไทยระยะเวลา ( ม.ค. - ธ.ค. 69 ) รวม 12 เดือนรายละเอียดสิ่งที่ได้รับต่อเดือน1.) สปอตวิทยุ ความยาว 30 วิ. (6 ครั้ง/วัน/จ.-อ.)2.) Jingle+PR 1 นาที (2 ครั้ง/วัน/จ.-อา)3.) ผลิต Scoop*4 version ความยาว 1 นาที (1 ครั้ง/วัน จ.- อา)แถม Banner Ad เพจข่าวลูกทุ่ง (4 ครั้ง/เดือน)แภม พิเศษ สื่อวิทยุ + ออนไลน์ ใช้ 2 เดือน (พ.ย. - ธ.ค.69 )  1.) สปอตวิทยุ ความยาว 30 วิ. (2 ครั้ง/วัน/จ.อ.)  2.) Jingie+PR 1 นาที ( 1 ครั้ง/วัน/จ.-อา)   3.) Banner Ad เพจข่าวลูกทุ่ง (2 ครั้ง/เดือน)แถม กิจกรรมลูกทุ่งฮอลิเดย์ (Co Sponsor) 3 ครั้ง (มี.ค.,ก.ค.,ต.ค.69)       กิจกรรมลูกทุ่งฮอลิเดย์ Exclusive โป๊ยเซียน 1 ครั้ง",11.0,125000.0,
mig_po_PO2600008,__export__.res_partner_70660_58cd9b28,PO2600008,,THB,mig_po_line_PO2600008_143,__export__.product_template_11623_43c763ab,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ET40",2.0,7500.0,
mig_po_PO2600008,__export__.res_partner_70660_58cd9b28,PO2600008,,THB,mig_po_line_PO2600008_151,__export__.product_template_11623_43c763ab,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ET401",5.0,9200.0,
mig_po_PO2600008,__export__.res_partner_70660_58cd9b28,PO2600008,,THB,mig_po_line_PO2600008_144,__export__.product_template_11623_43c763ab,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ZQ521",1.0,7500.0,
mig_po_PO2600012,__export__.res_partner_70932_e03e21fb,PO2600012,,THB,mig_po_line_PO2600012_139,__export__.product_template_11623_43c763ab,ค่าบริการบำรุงรักษาเครื่องปรับอากาศระบบ Chiller York Model : YEWS100HA50Eวันที่เริ่ม สัณญา 1 มกราคม 2569 วันสิ้นสุดสัณญา 31 ธันวาคม 2569,1.0,35000.0,
mig_po_PO2600025,__export__.res_partner_70660_58cd9b28,PO2600025,,THB,mig_po_line_PO2600025_135,__export__.product_template_11623_43c763ab,ค่าบริการรายเดือน งานดูแลและบริหารจัดการ แม่ข่ายและอุปกรณ์เครือข่าย ประจำปี 2569,11.0,8900.0,
mig_po_PO2600025,__export__.res_partner_70660_58cd9b28,PO2600025,,THB,mig_po_line_PO2600025_134,__export__.product_template_11623_43c763ab,ค่าบริการรายเดือน เจ้าหน้าที่ ดูแลด้าน IT จำนวน 1 คน ประจำปี 2569วันทำงาน : วันจันทร์ - วันศุกร์ 09.00-16.00 น. และ ON CALL ตลอดเวลาทำงาน,11.0,23400.0,
mig_po_PO2600033,__export__.res_partner_270764_f844127c,PO2600033,,THB,mig_po_line_PO2600033_133,__export__.product_template_11623_43c763ab,ค่าจัดทำคอนเทนต์ เพื่อโปรโมทผลิตภัณฑ์ Poysian ในปี 2026 (เดือนมกราคม - ธันวาคม 2026)ประกอบไปด้วย :- คอนเทนต์เดือนละ 13 คลิป ลงช่องทาง Instagram และ Tiktok ทั้งหมด 12 เดือน- ค่ายิง ads เพื่อเพิ่มการเข้าถง- ค่าจ้าง KOLs จำนวน 3 คน- ค่าจัดทำ Oline Creative Campaign 1 ครั้ง,11.0,187500.0,
mig_po_PO2600049,__export__.res_partner_70818_e98ac2c3,PO2600049,,THB,mig_po_line_PO2600049_131,__export__.product_template_11623_43c763ab,ค่าบล็อค แคปซีล8ccLot No. FC00226Mfg Date 020326Exp Date  020329,1.0,2600.0,
mig_po_PO2600054,__export__.res_partner_70361_4b10f17f,PO2600054,,THB,mig_po_line_PO2600054_130,__export__.product_template_11678_b3651377,1.รวมราคางานทางเข้า2.รวมราคางานห้องบรรจุพิมเสน3.รวมราคางานทางเดินหลังลิฟท์ไปห้องประกอบพิมเสน4.รวมราคางานห้องประกอบพิมเสน5.รวมราคางานห้องเปลี่ยนชุดด้านหลัง6.รวมราคางานห้องเก็บชิ้นส่วนและทางเดิน7.รวมราคางานห้องเครื่องที่ 78.รวมราคางานห้องล้างเครื่องมือ9.รวมราคางานห้องบรรจุพิมเสนน้ำสำลี10รวมราคางานทางเดินหน้าลิฟท์หน้าห้องผสม11.รวมราคางานห้องชุบยา,1.0,414538.85,
mig_po_PO2600055,__export__.res_partner_70527_2afc9751,PO2600055,,THB,mig_po_line_PO2600055_129,__export__.product_template_11623_43c763ab,สัญญาบริการตรวจเช็คเครื่องจักร 4 ครั้ง/ปี1.เครื่องซัก RX240 s/n.240RX005554MM2.เครื่องอบ T24-E s/n.24T009233KYR3.เครื่องซัก PC60-E s/n.2208600135,4.0,4000.0,
