po_no,vendor_ref,vendor_name,product_code,product_name,open_qty,unit_price,currency_src,delivery_date,reason
PO2500325,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900011,ค่าดำเนินการมาสคอตโป๊ยเซียน (Fashion Island)1. ค่าทำความสะอาดมาสคอต 1 ตัว,1.0,2000.0,THB,,missing vendor
PO2500325,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900011,2. ค่าขนส่งมาสคอต 1 ตัว,1.0,6000.0,THB,,missing vendor
PO2500325,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900011,"3.ค่าสตาฟใส่มาสคอต 1 คน และสตาฟดูแลมาสคอต 1 คน (วันที่ 10,11,12,17,18/5/68)",1.0,25000.0,THB,,missing vendor
PO2500354,888,บริษัท เรียล สมาร์ท จำกัด,900023,Social Monitoring Service for POY-SIAN (Data Source from Thailand) Period of  Services 3 Months (1 Apr-30 Jun 2025),2.0,160000.0,THB,,missing vendor
PO2500495,633,บริษัท จี.ดี. โปรแพค จำกัด,286,ฉลากHS PePex2IN1พวงกุญแจ ตัวบน,100000.0,0.29,THB,,missing product; product missing in item master
PO2500495,633,บริษัท จี.ดี. โปรแพค จำกัด,287,ฉลากHS PePex2IN1พวงกุญแจ ตัวล่าง,100000.0,0.29,THB,,missing product; product missing in item master
PO2500528,831,บริษัท มณฑรัตน์ เทรดดิ้ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,2.0,428000.0,THB,,missing product; product missing in item master
PO2500534,625,บริษัท เอที ออโต้ เทรดดิ้ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,4200000.0,THB,,missing product; product missing in item master
PO2500540,899,บริษัท สามหกห้า อินโฟเทค จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,2.0,700000.0,THB,,missing product; product missing in item master
PO2500568,383,บริษัท เอ็น.อาร์.พัฒนา จำกัด,533,พิมเสน Borneol White Snow,4000.0,656.0,THB,,missing product; product missing in item master
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,"งาน Siam Thai Hub 2025ค่าใช้จ่ายส่วนงาน Production เพิ่มเติม- ค่าขนส่งติดตั้งรื้อถอนพร้อมค่าเช้า TV 55 นิ้ว จำนวน 3 วัน (Mockup ยาดมยักษ์, TV 55 นิ้วพร้อมขาตั้ง)",1.0,24000.0,THB,,missing vendor
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,- ค่าสตาฟประจำบูธ 2 คน จำนวน 3 วัน (11.00-21.00 น.),1.0,12000.0,THB,,missing vendor
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,"งาน Siam Street 2025- ค่าขนส่งติดตั้งรื้อถอนพร้อมค่าเช่า TV 55 นิ้ว จำนวน 3 วัน (Mockup ยาดมยักษ์, TV 55 นิ้ว พร้อมขาตั้ง)",1.0,24000.0,THB,,missing vendor
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,- ค่าคนใส่ Mascot 1 คน และสตาฟดูแล Mascot 1 คน จำนวน 3 วัน,1.0,15000.0,THB,,missing vendor
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,- ค่าของรางวัลสำหรับงาน Siam Street 2025,1.0,21000.0,THB,,missing vendor
PO2500661,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,- ค่าซ่อมแซม Mock up ยาดมยักษ์ (ค่าซ่อมแซม แบบแรพแท่งยาดม+เปลี่ยนฐาน),1.0,42000.0,THB,,missing vendor
PO2500664,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,ค่าใช้จ่ายเพิ่มเติม ออกกองถ่ายทำ Vlog จ.บุรีรัมย์ จำนวน 4 Ep. (วันที่ 14-17 ตุลาคม 2568)1.ค่ารถตู้ จำนวน 4 คิว,1.0,10000.0,THB,,missing vendor
PO2500664,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,2.ค่าทางด่วนและค่ามัน จำนวน 4 คิว,1.0,7000.0,THB,,missing vendor
PO2500664,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,3.ค่าที่พักทีมงาน จำนวน 6 ห้อง,1.0,18000.0,THB,,missing vendor
PO2500664,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,4.ค่าช่างแต่งหน้า (วันเดินทาง ไป-กลับ) จำนวน 1 คน,1.0,5000.0,THB,,missing vendor
PO2500664,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,5.ค่าช่างภาพ (วันเดินทาง ไป-กลับ) จำนวน 2 คน,1.0,20000.0,THB,,missing vendor
PO2500695,437,บริษัท ไทยธานีเคมี จำกัด,529,"Chinese Natural Menthol Crystals(Anhui Fengle Perfume Co.,Ltd )",8000.0,480.0,THB,,missing product; product missing in item master
PO2500696,437,บริษัท ไทยธานีเคมี จำกัด,529,"Chinese Natural Menthol Crystals(Anhui Fengle Perfume Co.,Ltd )",8000.0,480.0,THB,,missing product; product missing in item master
PO2500697,437,บริษัท ไทยธานีเคมี จำกัด,529,"Chinese Natural Menthol Crystals(Anhui Fengle Perfume Co.,Ltd )",8000.0,480.0,THB,,missing product; product missing in item master
PO2500735,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA04125Mfg. Date 031125Exp. Date  031128,950.0,3.74,THB,2025-10-25,missing product; product missing in item master
PO2500735,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA04325Mfg. Date 171125Exp. Date  171128,415.0,3.74,THB,2025-10-25,missing product; product missing in item master
PO2500735,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,741,ยาดมPS สามัญ แผง3Lot No.     AA04125Mfg. Date 031125Exp. Date  031128,1300.0,3.13,THB,2025-10-25,missing product; product missing in item master
PO2500744,909,บริษัท สยาม ออโตเมชั่น ฟิลด์ เอ็นจิเนียริ่ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,3200000.0,THB,,missing product; product missing in item master
PO2500745,909,บริษัท สยาม ออโตเมชั่น ฟิลด์ เอ็นจิเนียริ่ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,800000.0,THB,,missing product; product missing in item master
PO2500746,909,บริษัท สยาม ออโตเมชั่น ฟิลด์ เอ็นจิเนียริ่ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,2800000.0,THB,,missing product; product missing in item master
PO2500747,909,บริษัท สยาม ออโตเมชั่น ฟิลด์ เอ็นจิเนียริ่ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,2.0,2800000.0,THB,,missing product; product missing in item master
PO2500748,909,บริษัท สยาม ออโตเมชั่น ฟิลด์ เอ็นจิเนียริ่ง จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,1.0,400000.0,THB,,missing product; product missing in item master
PO2500787,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,607,ยาดมPS ลัง 80 โหล สีขาว (GMP-0039),30.0,31.04,THB,2025-11-01,missing product; product missing in item master
PO2500793,615,บริษัท อุตสาหกรรม วินิลเทค จำกัด,321,แคปซีลพิมเสนน้ำ 8cc PVCหุ้ม งานม้วน Lot No. FC00625Mfg Date 121125Exp Date  121128,5676.0,0.1,THB,2025-11-17,missing product; product missing in item master
PO2500804,913,บริษัท หรรษา 62 จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,2.0,300000.0,THB,,missing product; product missing in item master
PO2500813,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA04725Mfg. Date 181225Exp. Date  181228,50.0,3.78,THB,2025-11-24,missing product; product missing in item master
PO2500813,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,741,ยาดมPS สามัญ แผง3Lot No.     AA04725Mfg. Date 181225Exp. Date  181228,300.0,3.13,THB,2025-11-24,missing product; product missing in item master
