parent_code,product_id,product_tmpl_id,product_name,status,active_bom_count,all_bom_count,bom_detail
SM-PLS-LO-02001,8026,8026,ชิ้นส่วนยาดมตัวล่างW02,BOM_EXISTS,1,1,BOM 2946 | code=BOM-003-64 | template | type=normal | qty=7000.00 | lines=2 | operations=1 | active=true
SM-PLS-TU-02001,8030,8030,ชิ้นส่วนยาดมหลอดน้ำW02,BOM_EXISTS,1,1,BOM 2960 | code=BOM-010-64 | template | type=normal | qty=15000.00 | lines=1 | operations=1 | active=true
SM-PLS-PU-02001,8028,8028,ชิ้นส่วนยาดมตัวอุดหลอดน้ำW02,BOM_EXISTS,1,1,BOM 2962 | code=BOM-011-64 | template | type=normal | qty=87000.00 | lines=1 | operations=1 | active=true
SM-JOI-PK-02002,8299,8299,ตัวต่อสี W02 ชมพูสะท้อนแสง,BOM_EXISTS,1,1,BOM 2948 | code=BOM-004-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
SM-JOI-PP-02001,8301,8301,ตัวต่อสี W02 ม่วง,BOM_EXISTS,1,1,BOM 2950 | code=BOM-005-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
SM-JOI-PK-02001,8298,8298,ตัวต่อสี W02 ชมพู,BOM_EXISTS,1,1,BOM 2952 | code=BOM-006-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
SM-JOI-BU-02001,8300,8300,ตัวต่อสี W02 ฟ้า,BOM_EXISTS,1,1,BOM 2954 | code=BOM-007-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
SM-JOI-YW-02001,8303,8303,ตัวต่อสี W02 เหลือง,BOM_EXISTS,1,1,BOM 2956 | code=BOM-008-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
SM-JOI-GN-01001,8302,8302,ตัวต่อสี W02 เขียว,BOM_EXISTS,1,1,BOM 2958 | code=BOM-009-64 | template | type=normal | qty=10000.00 | lines=2 | operations=1 | active=true
FG-PSK-TH-01001,8206,8206,ยาดมโป๊ยเซียนพวงกุญแจ (1x1),BOM_EXISTS,1,1,BOM 4063 | code= | template | type=normal | qty=1.000000 | lines=0 | operations=0 | active=true
