default_code,product_id,template_id,product_name,route_id,route_name
FG-PSS-TH-02003,8593,8593,ยาดมโป๊ยเซียนกล่อง 2 โหล หุ้ม,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-02003,8593,8593,ยาดมโป๊ยเซียนกล่อง 2 โหล หุ้ม,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-02003,8593,8593,ยาดมโป๊ยเซียนกล่อง 2 โหล หุ้ม,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-02004,8594,8594,ยาดมโป๊ยเซียนถุงโหล,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-02004,8594,8594,ยาดมโป๊ยเซียนถุงโหล,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-02004,8594,8594,ยาดมโป๊ยเซียนถุงโหล,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-02004,8594,8594,ยาดมโป๊ยเซียนถุงโหล,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-02005,8011,8011,ยาดมโป๊ยเซียน (1x1) 6ชิ้น กล่องขาว,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-02005,8011,8011,ยาดมโป๊ยเซียน (1x1) 6ชิ้น กล่องขาว,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-02005,8011,8011,ยาดมโป๊ยเซียน (1x1) 6ชิ้น กล่องขาว,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-03001,8556,8556,ยาดมโป๊ยเซียนแผง,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-03001,8556,8556,ยาดมโป๊ยเซียนแผง,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-03001,8556,8556,ยาดมโป๊ยเซียนแผง,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-03001,8556,8556,ยาดมโป๊ยเซียนแผง,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04001,8557,8557,ยาดมโป๊ยเซียนชมพูสะท้อนแสง,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04001,8557,8557,ยาดมโป๊ยเซียนชมพูสะท้อนแสง,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04001,8557,8557,ยาดมโป๊ยเซียนชมพูสะท้อนแสง,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04001,8557,8557,ยาดมโป๊ยเซียนชมพูสะท้อนแสง,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04002,8558,8558,ยาดมโป๊ยเซียนม่วง,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04002,8558,8558,ยาดมโป๊ยเซียนม่วง,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04002,8558,8558,ยาดมโป๊ยเซียนม่วง,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04002,8558,8558,ยาดมโป๊ยเซียนม่วง,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04003,8559,8559,ยาดมโป๊ยเซียนชมพู,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04003,8559,8559,ยาดมโป๊ยเซียนชมพู,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04003,8559,8559,ยาดมโป๊ยเซียนชมพู,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04003,8559,8559,ยาดมโป๊ยเซียนชมพู,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04004,8560,8560,ยาดมโป๊ยเซียนฟ้า,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04004,8560,8560,ยาดมโป๊ยเซียนฟ้า,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04004,8560,8560,ยาดมโป๊ยเซียนฟ้า,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04004,8560,8560,ยาดมโป๊ยเซียนฟ้า,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04005,8561,8561,ยาดมโป๊ยเซียนเหลือง,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04005,8561,8561,ยาดมโป๊ยเซียนเหลือง,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04005,8561,8561,ยาดมโป๊ยเซียนเหลือง,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04005,8561,8561,ยาดมโป๊ยเซียนเหลือง,62,"{""en_US"": ""Manufacture (Pharma)""}"
FG-PSS-TH-04006,8562,8562,ยาดมโป๊ยเซียนเขียว,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
FG-PSS-TH-04006,8562,8562,ยาดมโป๊ยเซียนเขียว,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
FG-PSS-TH-04006,8562,8562,ยาดมโป๊ยเซียนเขียว,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
FG-PSS-TH-04006,8562,8562,ยาดมโป๊ยเซียนเขียว,62,"{""en_US"": ""Manufacture (Pharma)""}"
SO-PSS-LO-01001,8185,8185,น้ำยา PS Solution,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
SO-PSS-LO-01001,8185,8185,น้ำยา PS Solution,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
SO-PSS-LO-01001,8185,8185,น้ำยา PS Solution,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
SO-PSS-LO-01001,8185,8185,น้ำยา PS Solution,62,"{""en_US"": ""Manufacture (Pharma)""}"
SO-PSS-UP-01001,8184,8184,น้ำยา PS Inhaler,1,"{""en_US"": ""Replenish on Order (MTO)"", ""th_TH"": ""เติมสินค้าตามคำสั่งขาย (MTO)""}"
SO-PSS-UP-01001,8184,8184,น้ำยา PS Inhaler,53,"{""en_US"": ""Auto Transfer MTS (Pharma)""}"
SO-PSS-UP-01001,8184,8184,น้ำยา PS Inhaler,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
SO-PSS-UP-01001,8184,8184,น้ำยา PS Inhaler,62,"{""en_US"": ""Manufacture (Pharma)""}"
