product_variant_id,product_template_id,default_code,product_name,category,route_id,route_name
8614,8614,FG-PAK-XX-03001,"{""en_US"": ""ยาดม PAX-Key แผง""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8616,8616,FG-PAK-XX-05001,"{""en_US"": ""ยาดม PAX-Key ""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8235,8235,FG-PAS-XX-01001,"{""en_US"": ""Pax 2 Ways Inhaler without keyholder blue 10*6 (5dz)\n( Each carton contains 20 units )"", ""th_TH"": ""ยาดม PAX (10x6) 5โหล""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8617,8617,FG-PAS-XX-02001,"{""en_US"": ""ยาดม PAX กล่อง 5โหล""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8618,8618,FG-PAS-XX-03001,"{""en_US"": ""ยาดม PAX แผง""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8619,8619,FG-PAS-XX-04001,"{""en_US"": ""ยาดม PAX""}",All / FG / ยาดม PAX,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7987,7987,FG-PNC-ID-01001,"{""en_US"": ""Pim Saen Balm Oil (8cc Cotton) Indonesia Label 12*1\n(Each carton contains 120 dozen)"", ""th_TH"": ""พิมเสนสำลี 8cc (12x1) อินโดนีเซีย""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8543,8543,FG-PNC-ID-02001,"{""en_US"": ""พิมเสนสำลี 8cc 1โหล อินโดนีเซีย""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8544,8544,FG-PNC-ID-03001,"{""en_US"": ""พิมเสนสำลี 8cc หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8545,8545,FG-PNC-ID-04001,"{""en_US"": ""พิมเสนสำลี 8cc ไม่หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7978,7978,FG-PNC-MM-01001,"{""en_US"": ""Pim Saen Balm Oil (8cc Cotton) Myanmar Label 12*1 \n(Each carton contains 120 dozen)"", ""th_TH"": ""พิมเสนสำลี 8cc (12x1) พม่า""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8534,8534,FG-PNC-MM-02001,"{""en_US"": ""พิมเสนสำลี 8cc 1โหล พม่า""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8535,8535,FG-PNC-MM-03001,"{""en_US"": ""พิมเสนสำลี 8cc หุ้ม พม่า""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8536,8536,FG-PNC-MM-04001,"{""en_US"": ""พิมเสนสำลี 8cc ไม่หุ้ม พม่า""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7976,7976,FG-PNC-XX-01001,"{""en_US"": ""Pim Saen Balm Oil (8cc Cotton) English Label 12*1\n(Each carton contains 120 dozen)"", ""th_TH"": ""พิมเสนสำลี 8cc (12x1) ตปท""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8531,8531,FG-PNC-XX-02003,"{""en_US"": ""พิมเสนสำลี 8cc 1โหล ตปท""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8532,8532,FG-PNC-XX-03001,"{""en_US"": ""พิมเสนสำลี 8cc หุ้ม ตปท""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8533,8533,FG-PNC-XX-04001,"{""en_US"": ""พิมเสนสำลี 8cc ไม่หุ้ม ตปท""}",All / FG / พิมเสนสำลี 8 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7974,7974,FG-PNF-ID-01001,"{""en_US"": ""Pim Saen Balm Oil (3cc Bottle) Indonesia Label 12*1\n(Each carton contains 72 dozen)"", ""th_TH"": ""พิมเสน แก้วแบน 3cc (12x1) อินโดนีเซีย""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8527,8527,FG-PNF-ID-02001,"{""en_US"": ""พิมเสน แก้วแบน 3cc 1โหล อินโดนีเซีย""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8528,8528,FG-PNF-ID-03001,"{""en_US"": ""พิมเสน แก้วแบน 3cc หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8529,8529,FG-PNF-ID-04001,"{""en_US"": ""พิมเสน แก้วแบน 3cc ไม่หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8621,8621,FG-PNF-TH-03001,"{""en_US"": ""พิมเสน แก้วแบน 3cc หุ้ม""}",All / SFG / น้ำยา,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8622,8622,FG-PNF-TH-04001,"{""en_US"": ""พิมเสน แก้วแบน 3cc ไม่หุ้ม""}",All / SFG / น้ำยา,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7982,7982,FG-PNF-XX-01001,"{""en_US"": ""Pim Saen Balm Oil (3cc Bottle) English Label 12*1\n(Each carton contains 72 dozen)"", ""th_TH"": ""พิมเสน แก้วแบน 3cc (12x1) ตปท""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8540,8540,FG-PNF-XX-02001,"{""en_US"": ""พิมเสน แก้วแบน 3cc 1โหล ตปท""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8541,8541,FG-PNF-XX-03001,"{""en_US"": ""พิมเสน แก้วแบน 3cc หุ้ม ตปท""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8542,8542,FG-PNF-XX-04001,"{""en_US"": ""พิมเสน แก้วแบน 3cc ไม่หุ้ม ตปท""}",All / FG / พิมเสนแก้วแบน 3 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7990,7990,FG-PNR-ID-01001,"{""en_US"": ""Pim Saen Balm Oil (5cc Roll On) Indonesia Label 12*1\n(Each carton contains 80 dozen)"", ""th_TH"": ""พิมเสนโรลออน 5cc (12x1) อินโดนีเซีย""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8546,8546,FG-PNR-ID-02001,"{""en_US"": ""พิมเสนโรลออน 5cc 1โหล อินโดนีเซีย""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
